num_of_people_rated,Rating,discount,new_price,old_price,all_items_name
12,4.5 out of 5,55%,"₦ 22,958","₦ 51,017",ADIDAS Advantage Lifestyle Court Lace Shoes
287,3.7 out of 5,51%,"₦ 4,785","₦ 9,800",Men Leather Loafers & Slip-Ons
32,4.3 out of 5,9%,"₦ 26,200","₦ 28,798",Male Formal Shoes Glossy Tassel Brogue Leather Shoes-White
39,3.9 out of 5,54%,"₦ 11,000","₦ 24,000",Men's Sneakers Canvas-BROWN
94,3.6 out of 5,28%,"₦ 6,480","₦ 9,000",Classic Business Men Cooperate Leather Shoes- Black
37,4 out of 5,43%,"₦ 5,999","₦ 10,000 - ₦ 10,500",Solid Kids Shoe- Black
27,4.1 out of 5,32%,"₦ 23,950","₦ 35,000",Depally Men's Brogue Tie Designers Shoe Black
12,4.2 out of 5,14%,"₦ 12,780","₦ 14,800",Mens Basket Leather Half Shoe - Black
24,4.3 out of 5,24%,"₦ 15,200","₦ 20,118",Men Sandals Handmade Leather Breathable Hiking Shoes Big Size
20,3.4 out of 5,47%,"₦ 4,800","₦ 9,000",Executive Business Men Leather Loafer Shoes- Black
11,4 out of 5,40%,"₦ 16,980","₦ 28,500",DEPALLY IRON CHAIN TIE SHINING BLACK  SHOE
42,3.8 out of 5,54%,"₦ 11,000","₦ 24,000",Cooperate Business Men's Leather Luxury Wedding Office Formal Shoes - Black
9,3.1 out of 5,50%,"₦ 15,000","₦ 30,000",Mens Simple Half Shoe - Black
31,3.8 out of 5,44%,"₦ 13,999 - ₦ 15,500","₦ 25,000",Mens Basket Leather Half Shoe - Black
92,4.3 out of 5,,"₦ 12,000",,ElegantMen's Half Shoe
32,3.8 out of 5,29%,"₦ 8,549","₦ 12,000",Stainless Shoe Rack + Steel Pipes For 20 Pairs 5-Layers
65,4.2 out of 5,27%,"₦ 23,500","₦ 32,000",Male Formal Shoes Glossy Tassel Brogue Leather Shoes  - Black
154,4 out of 5,37%,"₦ 18,995","₦ 30,000",Classy 3 Column Mobile Steel Wardrobe Closet
2,4.5 out of 5,53%,"₦ 15,400","₦ 33,000",Vangelo H CONFIRM  ITALIAN LEATHER BLACK  SHOES
19,3.4 out of 5,9%,"₦ 10,000","₦ 11,000",Mens Basket Leather Half Shoe - Black
44,4.3 out of 5,62%,"₦ 11,500","₦ 30,000",Santiago 2022 Mens Executive Business Office Casual Event Leather Formal Shoes Black
75,4.4 out of 5,4%,"₦ 11,500","₦ 12,000",Mens Casual Half Shoes Party Footwear-Black Half Shoe For Men
89,4.1 out of 5,49%,"₦ 13,800","₦ 26,800",2024 Men's Fashion Dress Shoes - Black
51,4 out of 5,25%,"₦ 13,499 - ₦ 13,999","₦ 18,000",Mens Basket Leather Half Shoe - Black
61,4.1 out of 5,45%,"₦ 27,200","₦ 49,286",Male Formal Shoes Glossy Tassel Brogue Leather Shoes-Black
26,3.8 out of 5,60%,"₦ 12,000","₦ 30,000",Decent Half Shoe
6,4 out of 5,47%,"₦ 16,000","₦ 30,000",Mens  Leather Half Shoe - Black
43,4.2 out of 5,64%,"₦ 10,875 - ₦ 11,309","₦ 30,000",Santiago Mens Dress Shoes Italian Leather Shoes Black
6,4.3 out of 5,37%,"₦ 18,600","₦ 29,500",DEPALLY CHAIN  IRON TIE DESIGNERS SHOES BLACK
49,3.9 out of 5,66%,"₦ 10,300","₦ 30,000",Varrati [NEW] Mens Leisure Dress Italian Leather Wedding Shoes Burgundy Red
67,4.4 out of 5,64%,"₦ 10,875","₦ 30,000",Santiago New Men Italian Fashion Office  Shoes - Black
24,3.4 out of 5,31%,"₦ 17,900","₦ 25,000 - ₦ 26,000",Black Classic Men's Fashion Shoes
19,3.9 out of 5,30%,"₦ 13,520","₦ 19,404",2022 Men's Casual Shoes Breathable Shoes
102,4.4 out of 5,,"₦ 10,899",,Stainless Shoe Rack + Steel Pipes (6 Layers)
111,4.2 out of 5,34%,"₦ 19,000","₦ 28,704",Men Glossy Tassel Brogue Leather Shoes Loafers & Slip-ons Formal Corporate Black
5,3.6 out of 5,47%,"₦ 9,500","₦ 18,000",Mens Black Basket Cover Palm
2,5 out of 5,47%,"₦ 16,000","₦ 30,000",Black Men's Decent Half Shoe
33,4.2 out of 5,73%,"₦ 12,150","₦ 45,000",FOLLETEL NEW Mens Office Wedding Leisure Italian Leather Shoe Black F63
70,4 out of 5,14%,"₦ 13,800","₦ 16,000",Men's Formal Italian Wedding Brogues Leather Shoes Loafers & Slip-Ons Brown
29,4 out of 5,27%,"₦ 14,900","₦ 20,500",Men Corporate Shoes - Office Shoe - Leather - Black
